Green Salad,Salad,Cut lettuce onions tomatoes and cucumber Lay in large flat plate Add oil and juiced lemon and serve,25,11,Lettuce,Pepper,CucumbereTomato,tomato,lemon,Oliveoil,0,0,0,0
Season Salad,Salad,Cut peppers tomatoes  onions Lay in large flat plate and add vinegar and olive oil Serve,22,13,Green Onions,Cucumber,Green Peppers,Red Peppers,Vinegar,Oliveoil,0,0,0,0
CousCous Salad,Salad,Tip the couscous in large bowl pour over Olive oil cover and leave untill fluffy slice onions pepper and cucumber add to couscous fork through pesto and sprinkle pine nuts Serve,50,20,100 g couscous,200 ml Olive oil,2 spring onions,1 red peper,1/2 cucumber,50 g feta cheese cubed,1 tbsp pesto,2 tbsp pine nuts,0,0
Broccoli Salad,Salad,Boil vinegar salt and sugar add red onions simmer Mix broccoli carrots cranberries cashews in large bowl add pickled onionwhisk pickling liquid maple syrup and lemon juice pour over and serve,40,20,300 g Broccoli,2 carrots,50 g dried cranberries,50 g cashews,80 ml cider vinegar,1 tbsp sugar,1 Red Onion finely sliced,50 ml extra virgin olive oil,1 tbsp maple syrup,1 lemon juiced
